id;item_name;description;qty;price;discount
1;emulation Seychelles Rupee Tools;systematic Integration drive;52903;38967;82166
2;payment Plains Rustic;Compatible;39728;38176;26693
3;primary Global;South Carolina circuit metrics;24034;20099;97983
4;Games Ergonomic Plastic Fish;Home;36100;50280;1611
5;Jewelery Plastic;Designer;26321;87591;69653
6;Knoll;protocol;30460;80163;94273
7;Automotive Plastic;Vista;49117;77044;15686
8;yellow quantifying Soap;Electronics;22574;61133;44475
9;Road;e-commerce Handmade;20198;63522;2557
10;Orchestrator Executive Manager;bricks-and-clicks Program Orchestrator;3232;87964;22422
